element_id;object_name;type;type_name;attribute_type;modifiers;number_of_statements;creator;created;changed_by;changed;local_class;container_id;iteration;amount_of_results;amount_of_namspa;amount_of_chnhis;amount_of_codlen;amount_of_commam;amount_of_dynsta;amount_of_enhmod;amount_of_formty;amount_of_nomac;amount_of_objnam;amount_of_praefi;amount_of_slin;amount_of_sql;amount_of_todo
70;/GISA/CCLMT_CR_TEST_REPORT_05;REPS;Report;;;3;GPRA437;20201009;GPRA437;20201009;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;LO_TEST;ATTR;Attribute;VARIABLE;;;GPRA437;20201009;GPRA437;20201009;;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;/GISA/CCLMT_INCLUDE_TEST;REPS;Report;;;5;GPRA587;20220303;GPRA587;20220303;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;HELLO_WORLD;FORM;FormRoutine;;;1;GPRA587;20220303;GPRA587;20220303;;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;/GISA/CCLMT_TEST_FUGR01;FUGR;FunctionGroup;;;;GPRA437;20201202;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;/GISA/CCLMT_TEST_FUBA01;FUNC;FunctionModule;;;3;GPRA437;20201202;GPRA587;20220303;;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;/GISA/CCLMT_TEST_LOCAL_CLASS;FUNC;FunctionModule;;;3;GPRA587;20220303;GPRA587;20220303;;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;/GISA/CCLMT_TEST_PAI_INCLUDE;FUNC;FunctionModule;;;3;GPRA587;20220303;GPRA587;20220303;;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;/GISA/CCLMT_TEST_SAP;FUGR;FunctionGroup;;;;GPRA587;20220530;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;/GISA/CCLMT_TEST_INTERSECTION;FUNC;FunctionModule;;;2;GPRA587;20220530;GPRA587;20220530;;51;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0
1;/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;Class;;;;GPRA437;20200915;GPRA587;20220110;false;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0
3;/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD;METH;Method;;;3;GPRA437;20200915;GPRA587;20220110;;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
4;LOOP_METHOD01;METH;Method;;PUBLIC;3;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;LOOP_METHOD02;METH;Method;;PUBLIC;3;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;NOT_QUITE_SO_LONG_TEST_METHOD;METH;Method;;PUBLIC;1;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;REALLY_REALLY_LONG_TEST_METHOD;METH;Method;;PUBLIC;1;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;RECURSIVE_METHOD01;METH;Method;;PUBLIC;3;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;TEST_METHOD01;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;TEST_METHOD02;METH;Method;;PUBLIC;3;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;TEST_METHOD03;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;TEST_METHOD04;METH;Method;;PUBLIC;1;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;TEST_METHOD05;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;TEST_METHOD06;METH;Method;;PUBLIC;1;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;TEST_METHOD07;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
