element_id,object_name,type,type_name,attribute_type,modifiers,number_of_statements,creator,created,changed_by,changed,local_class,container_id,iteration
191,GV_A,ATTR,Attribute,VARIABLE,,,GPRA440,20200316,G435367,20230816,,176,0
192,GV_B,ATTR,Attribute,VARIABLE,,,GPRA440,20200316,G435367,20230816,,176,0
193,GV_CHAR4,ATTR,Attribute,VARIABLE,,,GPRA440,20200316,G435367,20230816,,176,0
194,GV_MESSAGE,ATTR,Attribute,VARIABLE,,,GPRA440,20200316,G435367,20230816,,176,0
196,/GISA/CCLMT_REPORT1,REPS,Report,,,4,GPRA629,20221017,GPRA629,20221023,,76,0
197,KLASSE_A,ATTR,Attribute,VARIABLE,,,GPRA629,20221017,GPRA629,20221023,,196,0
198,LOKALE_VARIABLE1,ATTR,Attribute,VARIABLE,,,GPRA629,20221017,GPRA629,20221023,,196,0
199,LOKALE_VARIABLE2,ATTR,Attribute,VARIABLE,,,GPRA629,20221017,GPRA629,20221023,,196,0
200,/GISA/CCLMT_REPORT1_TEST,REPS,Report,,,3,GPRA629,20220727,GPRA629,20220905,,76,0
201,LO_INSTANZ_CLASS1,ATTR,Attribute,VARIABLE,,,GPRA629,20220727,GPRA629,20220905,,200,0
203,/GISA/CCLMT_PROG_01,REPS,Report,,,6,G954492,20191120,G954492,20191120,,102,0
204,/GISA/CCLMT_PROG_02,REPS,Report,,,2,G432050,20191126,G432050,20191126,,102,0
205,DO_SOMETHING,FORM,FormRoutine,,,0,G432050,20191126,G432050,20191126,,204,0
206,GV_VALUE,ATTR,Attribute,VARIABLE,,,G432050,20191126,G432050,20191126,,204,0
207,/GISA/CCLMT_PROG_03,REPS,Report,,,1,GPRA629,20220604,GPRA629,20220604,,102,0
2,/GISA/CCLMT_CROSSREF_TEST,DEVC,Namespace,,,,GPRA437,20200915,GPRA437,20200915,,,0
47,/GISA/CCLMT_VISAP_TEST,DEVC,Namespace,,,,GPRA440,20200225,G432895,20201029,,,0
76,/GISA/CCLMT_VISAP_DEBUGGER,DEVC,Namespace,,,,GPRA629,20220727,GPRA629,20220727,,,0
102,/GISA/CCLMT_UNIT_TESTS,DEVC,Namespace,,,,G954492,20190820,G432895,20201029,,,0
208,/GISA/CCLMT_CR_TEST1,TRAN,Transaction,,,,GPRA437,20200915,,,,2,0
209,/GISA/CCLMT_CR_TEST2,TRAN,Transaction,,,,GPRA437,20200915,,,,2,0
210,/GISA/CCLMT_CR_TEST3,TRAN,Transaction,,,,GPRA437,20200916,,,,2,0
211,/GISA/CCLMT_CR_TEST4,TRAN,Transaction,,,,GPRA437,20200916,,,,2,0
212,/GISA/CCLMT_RECITE,TRAN,Transaction,,,,GPRA587,20220309,,,,2,0
